"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"4",1,1e-16,3,0.000311171618100109,3,0.887197532142651,0.888576597250133,0.00830732809348557,9.27723732181321,1.08135271867116
"2",20,1e-16,3,0.000773004122542712,1,0.888568840981734,0.888946709587067,0.00830341375706067,9.24603652605461,1.08135271867116
"3",50,1e-16,3,0.000598304716541157,2,0.887795836859192,0.888429421236147,0.00830269125975681,9.27637567373505,1.08135271867116
"41",100,1e-16,3,0.000311171618100109,3,0.887197532142651,0.888196366938031,0.00830211351585501,9.27723732181321,1.08135271867116
"21",1,1e-10,3,0.000773004122542712,1,0.888568840981734,0.888761879631922,0.0083013145350882,9.24603652605461,1.08135271867116
"22",20,1e-10,3,0.000773004122542712,1,0.888568840981734,0.88880915986242,0.00830144226501848,9.24603652605461,1.08135271867116
"42",50,1e-10,3,0.000311171618100109,3,0.887197532142651,0.888640627376279,0.00830492687040028,9.27723732181321,1.08135271867116
"23",100,1e-10,3,0.000773004122542712,1,0.888568840981734,0.888777763726961,0.00830392291275816,9.24603652605461,1.08135271867116
"24",1,1e-05,3,0.000773004122542712,1,0.888568840981734,0.888649962589541,0.00830064155775244,9.24603652605461,1.08135271867116
"25",20,1e-05,3,0.000773004122542712,1,0.888568840981734,0.888629325487025,0.00829998530924421,9.24603652605461,1.08135271867116
"43",50,1e-05,3,0.000311171618100109,3,0.887197532142651,0.888574133113326,0.00831184377994095,9.27723732181321,1.08135271867116
"44",100,1e-05,3,0.000311171618100109,3,0.887197532142651,0.888176645007616,0.00830156722787315,9.27723732181321,1.08135271867116
"26",1,0.01,3,0.01,1,0.888568840981734,0.888611217310807,0.00830014147692064,9.24603652605461,1.08135271867116
"27",20,0.01,3,0.01,1,0.888568840981734,0.888627435281454,0.0083007078343756,9.24603652605461,1.08135271867116
"28",50,0.01,3,0.01,1,0.888568840981734,0.888785286761937,0.00830281531333912,9.24603652605461,1.08135271867116
"29",100,0.01,3,0.01,1,0.888568840981734,0.888700255865518,0.00830105532662923,9.24603652605461,1.08135271867116
