"","Epoch","Iteration","number_of_neurons","number_of_layers","gpUtility","acqOptimum","inBounds","Elapsed","Score","train_loss","errorMessage"
"1",0,1,8,2,NA,FALSE,TRUE,181.19,6.48841903966968e-05,8.95361721632071e-05,NA
"2",0,2,4,1,NA,FALSE,TRUE,184.153,0.00145913607157127,0.00142286318350671,NA
"3",0,3,4,2,NA,FALSE,TRUE,112.695000000001,0.00759510861095123,0.00749630829911894,NA
"4",1,4,10,2,0.514041269804576,FALSE,TRUE,176.769,0.000164169535310066,0.000150736103023519,NA
"5",1,5,1,2,0.514041269804576,FALSE,TRUE,177.967,0.000964948202317828,0.000960266747617311,NA
"6",2,6,1,1,0.229542299254182,FALSE,TRUE,170.744000000001,0.0068033865611369,0.00577994736129313,NA
"7",2,7,10,1,0.234538804259676,FALSE,TRUE,162.685,0.00250941088031848,0.00249578513721644,NA
