"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"2",1,1e-16,3,0.00050249850074745,1,0.889671160625897,0.889740692319675,0.00828492136186347,9.2371669306045,50.4077188968658
"21",20,1e-16,3,0.00050249850074745,1,0.889671160625897,0.889819762460365,0.00828566805158307,9.2371669306045,50.4077188968658
"22",50,1e-16,3,0.00050249850074745,1,0.889671160625897,0.889802334743378,0.00828526392222358,9.2371669306045,50.4077188968658
"23",100,1e-16,3,0.00050249850074745,1,0.889671160625897,0.889875056203802,0.00828510811850039,9.2371669306045,50.4077188968658
"24",1,1e-10,3,0.00050249850074745,1,0.889671160625897,0.889872579197917,0.00828537400606987,9.2371669306045,50.4077188968658
"25",20,1e-10,3,0.00050249850074745,1,0.889671160625897,0.889952906041979,0.00828461517906751,9.2371669306045,50.4077188968658
"26",50,1e-10,3,0.00050249850074745,1,0.889671160625897,0.889786053983016,0.00828496124783832,9.2371669306045,50.4077188968658
"27",100,1e-10,3,0.00050249850074745,1,0.889671160625897,0.889785347450341,0.00828530415137464,9.2371669306045,50.4077188968658
"28",1,1e-05,3,0.00050249850074745,1,0.889671160625897,0.889712102834283,0.00828423245008949,9.2371669306045,50.4077188968658
"29",20,1e-05,3,0.00050249850074745,1,0.889671160625897,0.889757678633931,0.00828376840758672,9.2371669306045,50.4077188968658
"210",50,1e-05,3,0.00050249850074745,1,0.889671160625897,0.889780502835427,0.0082839112151427,9.2371669306045,50.4077188968658
"211",100,1e-05,3,0.00050249850074745,1,0.889671160625897,0.889717915471637,0.00828421937624083,9.2371669306045,50.4077188968658
"212",1,0.01,3,0.01,1,0.889671160625897,0.88989357764089,0.00828562362766851,9.2371669306045,50.4077188968658
"213",20,0.01,3,0.01,1,0.889671160625897,0.889781342700993,0.00828394938695791,9.2371669306045,50.4077188968658
"214",50,0.01,3,0.01,1,0.889671160625897,0.88980591984213,0.00828495240586715,9.2371669306045,50.4077188968658
"215",100,0.01,3,0.01,1,0.889671160625897,0.88975213567156,0.00828407193446899,9.2371669306045,50.4077188968658
