"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"33",1,1e-16,3,4.91657182795373e-05,52,0.978339332503032,0.981583627288621,0.00475009485059192,10.6004987302649,1.12312872012456
"54",20,1e-16,3,2.51104425034271e-05,91,0.977018717661407,0.981293825963918,0.00476176545476307,10.6004963581817,1.12312872012456
"73",50,1e-16,3,1.37838868246872e-05,119,0.976956027925096,0.980922563886065,0.0047221627492355,10.600106584969,1.12312872012456
"79",100,1e-16,3,1.15308543602579e-05,127,0.977619956427381,0.980144822043562,0.00470600211385282,10.5987854297206,1.12312872012456
"38",1,1e-10,3,3.94269038071156e-05,57,0.978120087791945,0.980634626036496,0.00473792295199498,10.6005409709631,1.12312872012456
"61",20,1e-10,3,1.85951494820801e-05,98,0.976862738484094,0.981234012205262,0.00474433005767239,10.6005165609242,1.12312872012456
"60",50,1e-10,3,1.71509133120167e-05,96,0.977320988839655,0.98020990114402,0.00470900720844405,10.600106384711,1.12312872012456
"62",100,1e-10,3,1.62914723550713e-05,98,0.978015034291497,0.9803261772331,0.00470966657536083,10.598801132896,1.12312872012456
"601",1,1e-05,3,2.36749756327834e-05,105,0.976630490251427,0.980449821824764,0.00473130929062973,10.6006553732592,1.12312872012456
"51",20,1e-05,3,2.61790586723491e-05,87,0.977122502129927,0.98101219610393,0.00474537249057245,10.6004841002978,1.12312872012456
"44",50,1e-05,3,2.90923633419665e-05,72,0.97786622299282,0.980480634079416,0.00471662940046145,10.6000523725693,1.12312872012456
"47",100,1e-05,3,2.61790586723491e-05,73,0.978512514237607,0.980540973840794,0.00471372734637347,10.5987535054001,1.12312872012456
"1",1,0.01,3,0.00635929905710882,0,1,0,0,10.5943131104694,1.12312872012456
"11",20,0.01,3,0.00635929905710882,0,1,0,0,10.5943131104694,1.12312872012456
"12",50,0.01,3,0.00635929905710882,0,1,0,0,10.5943131104694,1.12312872012456
"13",100,0.01,3,0.00635929905710882,0,1,0,0,10.5943131104694,1.12312872012456
