"","Epoch","Iteration","cp","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,9.69146489459425e-05,NA,FALSE,TRUE,3.748,-0.988061099079064,0.986649168143899,NA
"2",0,2,9.92079860458804e-05,NA,FALSE,TRUE,3.639,-0.988902903189552,0.986649168143899,NA
"3",0,3,9.55013712631923e-05,NA,FALSE,TRUE,4.882,-0.988838743755125,0.986553496181116,NA
"4",0,4,9.25224583733778e-05,NA,FALSE,TRUE,3.716,-0.98878266133705,0.986553496181116,NA
"5",0,5,8.38910272372958e-05,NA,FALSE,TRUE,4.185,-0.988693642428447,0.986553496181116,NA
"6",0,6,9.02765405982681e-05,NA,FALSE,TRUE,3.756,-0.988693642428447,0.986553496181116,NA
"7",0,7,8.94243717608779e-05,NA,FALSE,TRUE,4.566,-0.988693642428447,0.986553496181116,NA
"8",0,8,8.67168785383524e-05,NA,FALSE,TRUE,3.634,-0.988693642428447,0.986553496181116,NA
"9",0,9,8.40117169740596e-05,NA,FALSE,TRUE,3.402,-0.988693642428447,0.986553496181116,NA
"10",0,10,8.11733505955248e-05,NA,FALSE,TRUE,3.493,-0.988366196570768,0.986470043610735,NA
"11",0,11,7.95093264785892e-05,NA,FALSE,TRUE,3.221,-0.988392282006141,0.986470043610735,NA
"12",0,12,7.68790645512162e-05,NA,FALSE,TRUE,3.497,-0.988382946836237,0.986470043610735,NA
"13",0,13,7.4744760589935e-05,NA,FALSE,TRUE,3.534,-0.988461403799508,0.986470043610735,NA
"14",0,14,7.39443727400761e-05,NA,FALSE,TRUE,3.672,-0.987635203151171,0.986470043610735,NA
"15",0,15,7.01052589081677e-05,NA,FALSE,TRUE,4.901,-0.988389709717158,0.986470043610735,NA
"16",0,16,6.96416813849693e-05,NA,FALSE,TRUE,3.595,-0.98849451095819,0.986470043610735,NA
"17",0,17,6.64841279657879e-05,NA,FALSE,TRUE,3.488,-0.98849451095819,0.986470043610735,NA
"18",0,18,6.48817224096555e-05,NA,FALSE,TRUE,4.728,-0.98849451095819,0.986470043610735,NA
"19",0,19,6.36254346587948e-05,NA,FALSE,TRUE,4.064,-0.98849451095819,0.986470043610735,NA
"20",0,20,6.17116656843298e-05,NA,FALSE,TRUE,4.571,-0.988358652211795,0.986408091045427,NA
"21",0,21,5.93744664962465e-05,NA,FALSE,TRUE,4.078,-0.988363093638173,0.986408091045427,NA
"22",0,22,5.79396186181553e-05,NA,FALSE,TRUE,4.269,-0.988363093638173,0.986408091045427,NA
"23",0,23,5.44512671210673e-05,NA,FALSE,TRUE,3.684,-0.988229868647482,0.985938098746191,NA
"24",0,24,5.2331456990169e-05,NA,FALSE,TRUE,3.409,-0.988228572880478,0.985938098746191,NA
"25",0,25,5.01030540077348e-05,NA,FALSE,TRUE,4.158,-0.988211104122549,0.985887817739534,NA
"26",0,26,4.97949286710838e-05,NA,FALSE,TRUE,4.56,-0.988211104122549,0.985887817739534,NA
"27",0,27,1.76059971203166e-07,NA,FALSE,TRUE,5.35,-0.987560393663289,0.984219393287529,NA
