"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"32",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.47399678036502,3.58590049743652,116.954421261946
"33",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47401061769167,3.58627729415894,100.420866231124
"34",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47433657945981,3.58437447547913,32.1322363416354
"35",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47382748070217,3.58607487678528,149.356900823116
"36",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47388462568878,3.58615465164185,139.406020549933
"37",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47503634870126,3.58572344779968,40.576765537262
"38",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47504124246604,3.58282871246338,56.2295898119609
"39",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47539624605686,3.58457851409912,48.4517268776894
"40",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.4750487156646,3.58549919128418,29.0995713551839
"41",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.47517045862997,3.58373017311096,31.7583390673002
"42",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,32.5100216031075
"43",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47475176700182,3.58658075332642,33.5878794233004
"44",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,89.6524433692296
