"","Epoch","Iteration","number_of_neurons","number_of_layers","gpUtility","acqOptimum","inBounds","Elapsed","Score","train_loss","errorMessage"
"1",0,1,3,1,NA,FALSE,TRUE,182.399,6.51374348308309e-05,6.52902763249585e-05,NA
"2",0,2,7,2,NA,FALSE,TRUE,184.784000000001,6.60048392091994e-05,6.78073058224982e-05,NA
"3",0,3,4,1,NA,FALSE,TRUE,110.884,5.70939950193861e-05,5.39165205736936e-05,NA
"4",1,4,1,2,0.79398065182258,FALSE,TRUE,178.427000000001,0.0163238825819704,0.0154895616762616,NA
"5",1,5,10,2,0.79398065182258,FALSE,TRUE,180.021999999999,8.80353338288842e-05,8.47952203912428e-05,NA
"6",2,6,1,1,-0.524077073787348,FALSE,TRUE,176.046,0.00124905259615957,0.00125560585670712,NA
"7",2,7,10,1,0.203015037704445,FALSE,TRUE,174.516,0.016352370290042,0.00156469970097533,NA
