"","Epoch","Iteration","num_layers","num_nodes","optim","activation","lr","xi","eps","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,10,2,2,2,0.0196369415218476,0.379995074020699,0.0525638551381417,NA,FALSE,TRUE,5948.256,-7.17158555984497,7.49105656006757,NA
"2",0,2,8,3,2,2,0.0311421010593185,0.415258877589367,0.477233999406453,NA,FALSE,TRUE,3633.538,-7.37607202529907,7.69556650834925,NA
"3",0,3,9,6,2,1,0.0137400154258357,0.142165803515818,0.102297257729806,NA,FALSE,TRUE,4512.148,-7.19701709747314,7.51630195729873,NA
"4",0,4,5,7,2,1,0.278150294170855,0.000626532542519271,0.0280392970936373,NA,FALSE,TRUE,8554.32,-7.21978740692139,7.53804740905762,NA
"5",0,5,9,7,2,1,0.388502510919701,0.45431207734393,0.427238855869509,NA,FALSE,TRUE,7751.654,-14.7452821731567,15.0587359596701,NA
"6",0,6,3,9,2,1,0.212429380183341,0.332141558190342,0.186663216110319,NA,FALSE,TRUE,5976.323,-7.97571754455566,8.29313318589154,NA
"7",0,7,3,5,2,1,0.218404620386567,0.440732550690882,0.279968099566177,NA,FALSE,TRUE,4830.328,-7.79959754943848,8.11750455183141,NA
"8",0,8,9,7,2,2,0.375942842093646,0.437061070310883,0.190145341765601,NA,FALSE,TRUE,8627.614,-8.62042865753174,8.9282460156609,NA
"9",0,9,8,8,1,1,0.136583918835782,0.474309319437016,0.031201267503202,NA,FALSE,TRUE,8294.77,-7.39541444778442,7.71261846878949,NA
"10",0,10,7,5,2,1,0.228532820164482,0.461121769128367,0.319592866043095,NA,FALSE,TRUE,3457.69,-8.33528308868408,8.64951201046214,NA
"11",0,11,10,10,1,1,0.412479666303983,0.196033695938531,0.0910250002751127,NA,FALSE,TRUE,7700.776,-11.2924728393555,12.1768085030948,NA
"12",0,12,10,3,1,1,0.311572896355297,0.228971047957893,0.254075519798789,NA,FALSE,TRUE,4201.749,-8.8756477355957,9.1571735830868,NA
"13",0,13,9,8,1,2,0.475314495088719,0.263070629499853,0.150080252967309,NA,FALSE,TRUE,8690.282,-12.6972169876099,13.0461753620821,NA
"14",0,14,4,6,1,2,0.18320265886751,0.155669927622657,0.0800604645488784,NA,FALSE,TRUE,8556.571,-7.74219427108765,8.03026837180643,NA
"15",0,15,8,10,1,1,0.0745516653584083,0.135785387875512,0.0415106416260824,NA,FALSE,TRUE,8708.134,-7.64270448684692,7.90458345413208,NA
"16",0,16,2,4,1,2,0.10799163586169,0.402634436422959,0.0620178247126751,NA,FALSE,TRUE,8502.289,-7.28281145095825,7.59002229466158,NA
"17",0,17,4,5,1,2,0.488040189863928,0.238298151518684,0.00183135898550972,NA,FALSE,TRUE,6136.611,-7.18822813034058,7.50675812889548,NA
"18",0,18,7,4,1,1,0.155354667426273,0.0995019794721156,0.166595949183684,NA,FALSE,TRUE,4127.269,-8.14243793487549,8.33841156679041,NA
"19",0,19,6,9,1,1,0.169654322606814,0.340654547535814,0.0744961857097223,NA,FALSE,TRUE,6841.827,-8.03925647735596,8.29320947422701,NA
"20",0,20,6,4,2,1,0.0972651285984553,0.065511499803979,0.35823667712044,NA,FALSE,TRUE,3565.516,-8.4076753616333,8.6914955812342,NA
"21",0,21,8,2,2,2,0.40452432025224,0.162226098866668,0.387020392324775,NA,FALSE,TRUE,5472.088,-9.35283145904541,9.65528195325066,NA
"22",0,22,5,6,2,1,0.0391068865713198,0.0485189243918285,0.29523257503286,NA,FALSE,TRUE,4066.33,-7.72168550491333,8.03640351575964,NA
"23",0,23,6,7,1,1,0.254040456206026,0.284265078401659,0.236663141632453,NA,FALSE,TRUE,8322.895,-9.84777488708496,10.236119965946,NA
"24",0,24,6,4,1,1,0.431677414490329,0.366571652088314,0.459524449433666,NA,FALSE,TRUE,4556.823,-11.2668975830078,10.8087676889756,NA
"25",0,25,7,8,2,1,0.353069398277719,0.204341360942926,0.348967802319676,NA,FALSE,TRUE,7456.281,-16.7854515075684,16.8611629486084,NA
"26",0,26,9,3,1,2,0.120869890844659,0.0367335599078797,0.437559792660177,NA,FALSE,TRUE,4767.398,-8.50524482727051,8.75778404684628,NA
"27",0,27,5,5,2,1,0.421734674906009,0.352864778211806,0.149341498296708,NA,FALSE,TRUE,3728.341,-7.73220853805542,8.05013966279871,NA
"28",0,28,6,4,2,1,0.462718963079387,0.390942816620227,0.367529030831065,NA,FALSE,TRUE,4619.039,-10.0043243408203,10.317658368279,NA
"29",0,29,7,3,1,2,0.291579836637946,0.496012767034117,0.398883124557324,NA,FALSE,TRUE,5164.748,-8.27134075164795,8.7234271329992,NA
"30",0,30,7,9,1,1,0.336089774462744,0.103071549909655,0.125312241076026,NA,FALSE,TRUE,8601.017,-11.1587228775024,11.6700775370878,NA
"31",0,31,3,7,1,2,0.271381255873479,0.296921217557974,0.0154716562526301,NA,FALSE,TRUE,8609.163,-7.29431848526001,7.62303004545324,NA
"32",0,32,4,9,1,1,0.343900650738226,0.0248833710933104,0.222927133468911,NA,FALSE,TRUE,6254.188,-14.1236696243286,12.9038535398595,NA
"33",0,33,4,8,2,1,0.198773794064112,0.118591328230686,0.178941980742384,NA,FALSE,TRUE,4935.507,-8.35498027801514,8.66403316049015,NA
"34",0,34,9,2,2,1,0.0606340116053354,0.128766698637046,0.338940915204585,NA,FALSE,TRUE,4568.037,-7.44120626449585,7.76068248187794,NA
