"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"2",1,1e-16,3,0.000502806430137855,1,0.902536782263989,0.902731767222668,0.00865317914302458,9.12206709956934,37.7788796424866
"21",20,1e-16,3,0.000502806430137855,1,0.902536782263989,0.902708664490418,0.00865239911751896,9.12206709956934,37.7788796424866
"22",50,1e-16,3,0.000502806430137855,1,0.902536782263989,0.902655775682751,0.00865056011598467,9.12206709956934,37.7788796424866
"23",100,1e-16,3,0.000502806430137855,1,0.902536782263989,0.902741055379843,0.00865187776590753,9.12206709956934,37.7788796424866
"24",1,1e-10,3,0.000502806430137855,1,0.902536782263989,0.90274327285118,0.00865283252684281,9.12206709956934,37.7788796424866
"25",20,1e-10,3,0.000502806430137855,1,0.902536782263989,0.903085473518196,0.00865460129825281,9.12206709956934,37.7788796424866
"26",50,1e-10,3,0.000502806430137855,1,0.902536782263989,0.902611470303235,0.00865159719499788,9.12206709956934,37.7788796424866
"27",100,1e-10,3,0.000502806430137855,1,0.902536782263989,0.902667186409815,0.00865195682924738,9.12206709956934,37.7788796424866
"28",1,1e-05,3,0.000502806430137855,1,0.902536782263989,0.902781959183789,0.00865216609765596,9.12206709956934,37.7788796424866
"29",20,1e-05,3,0.000502806430137855,1,0.902536782263989,0.902917791419705,0.00865277969239309,9.12206709956934,37.7788796424866
"210",50,1e-05,3,0.000502806430137855,1,0.902536782263989,0.902647411738322,0.00865243580698825,9.12206709956934,37.7788796424866
"211",100,1e-05,3,0.000502806430137855,1,0.902536782263989,0.90287968698902,0.00865334827374671,9.12206709956934,37.7788796424866
"212",1,0.01,3,0.01,1,0.902536782263989,0.902553254260397,0.00865045066677527,9.12206709956934,37.7788796424866
"213",20,0.01,3,0.01,1,0.902536782263989,0.902679173268199,0.00865088932072437,9.12206709956934,37.7788796424866
"214",50,0.01,3,0.01,1,0.902536782263989,0.902838968517508,0.00865421587344203,9.12206709956934,37.7788796424866
"215",100,0.01,3,0.01,1,0.902536782263989,0.902771674460051,0.00865263984463649,9.12206709956934,37.7788796424866
