"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"1",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4656402805136,3.58497543334961,83.522546740373
"2",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46574553197486,3.5844021320343,94.87724284331
"3",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.46569559558287,3.58486142158508,112.344423039754
"4",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46565236642611,3.58370685577393,56.4561569094658
"5",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.46572139596667,3.58468418121338,96.0147623022397
"6",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.46566620290149,3.58495879173279,121.164651449521
"7",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46587972358569,3.58456463813782,64.7776522715887
"8",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.46564426108535,3.5843270778656,127.423520064354
"9",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.4658012078728,3.58465733528137,146.083385940393
"10",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4649374143331,3.58304257392883,179.857707464695
"11",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51804060829972,3.6078197479248,47.1002824306488
"12",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51804033920718,3.60782008171082,50.5339787801107
"13",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46502872632473,3.58353643417358,184.892543450991
"14",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51804604008353,3.60781955718994,61.8458833932877
"15",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51788546029637,3.60782027244568,62.5451959252357
"16",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46528398227312,3.58216004371643,49.8675409674644
"17",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.46524234665247,3.5829336643219,178.908028141658
"18",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.51807990273833,3.6078188419342,85.8100574970245
"19",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4655905183137,3.58415966033936,70.495790831248
"20",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46568587972198,3.58438315391541,64.5990967233976
"21",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.46578493930028,3.58551173210144,68.0961792469025
"22",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46568666559934,3.58281507492065,65.5512404044469
"23",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.46589297522136,3.58337230682373,56.5833191116651
"24",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.46579259283257,3.58530178070068,82.0665107687314
"25",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.4658123770562,3.58430490493774,49.773748254776
"26",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.46602158923677,3.58510460853577,55.3397162834803
"27",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.4662586021675,3.58561115264893,50.039342546463
"28",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.46512848065838,3.58322224617004,119.150540661812
"29",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46498705232126,3.58325500488281,175.151361767451
"30",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.4650514895759,3.58323655128479,164.966268444061
"31",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46515671403773,3.5830837726593,24.3153491099675
"32",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.46514668359238,3.58311681747437,77.8901418010394
"33",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.46510767834901,3.5830828666687,84.3167616883914
"34",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46533154960385,3.5828752040863,8.65330228010813
"35",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.46528917743612,3.58277521133423,33.3039930264155
"36",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.46502735131475,3.58298826217651,38.509041372935
"37",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.46623564010092,3.5844343662262,15.3587838013967
"38",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46659390249398,3.58528780937195,9.9467827796936
"39",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,NA,NA,23.286537706852
"40",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46604398567106,3.58398842811584,8.75061455567678
"41",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.46621183281429,3.58429307937622,10.3938541650772
"42",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,12.0129781484604
"43",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46602946082899,3.58769655227661,9.99641091823578
"44",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,12.4287401914597
"45",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,8.66371967395147
"46",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.46518047955508,3.58276748657227,9.70286759932836
"47",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51804059564642,3.60781979560852,6.65065072377523
"48",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51804033920718,3.60782008171082,5.24555273850759
"49",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46515760103536,3.58339409828186,8.70367232163747
"50",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51793161638422,3.60781941413879,7.11278174320857
"51",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51784947391273,3.60781941413879,9.47178600629171
"52",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46528026790189,3.58288688659668,4.53625704050064
"53",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.46547683270192,3.58376841545105,7.59508434534073
"54",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.46503408995124,3.58359847068787,33.9391268253326
"55",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.46665923359783,3.58684186935425,7.8513797322909
"56",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46703665488132,3.58496723175049,5.50590883096059
"57",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.46710394419196,3.58578114509583,6.62539951006571
"58",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46658731392434,3.58714818954468,68.8567076563835
"59",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,79.0233317971229
"60",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.46844368933201,3.585409116745,85.5768393794695
"61",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46695826144837,3.58406767845154,68.1890449762344
"62",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,68.3177842736244
"63",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,76.0666455705961
"64",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.46523464115418,3.58292675018311,80.0408784270287
"65",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.46526513809884,3.58293380737305,100.505396195253
"66",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.46530710632608,3.58375658988953,105.681160414219
"67",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.46534666171014,3.58322062492371,51.3244822541873
"68",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.46540421617731,3.58326959609985,130.859693821271
"69",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.46528338496189,3.58310437202454,168.829376335939
"70",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.46545041959146,3.5829333782196,64.7570598642031
"71",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4654412676002,3.58329529762268,93.8322736740112
