"","Epoch","Iteration","eta","max_depth","min_child_weight","subsample","lambda","alpha","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,0.4770609716943,4,19.6517537347972,0.26939966698701,15.3419262365787,1.6806997533422,NA,FALSE,TRUE,16.897,-7.41702732950421,8.80211249441672,NA
"2",0,2,0.358254881954053,25,2.69357514480362,0.736504831915954,27.7312167119817,48.268013598863,NA,FALSE,TRUE,16.631,-7.41785605574551,8.80300673313525,NA
"3",0,3,0.517503588285763,9,35.3657192681567,0.88779543460987,9.69426433584886,29.31500266277,NA,FALSE,TRUE,17.164,-7.41695190740961,8.80120130077478,NA
"4",0,4,0.716501917951973,18,10.6240660519688,0.858729933525319,2.60462737787748,20.2585881532286,NA,FALSE,TRUE,18.049,-7.41745966824551,8.80070843535412,NA
"5",0,5,0.987497522495687,2,13.5541038631345,0.621212893442134,49.0104793047067,7.39690507762134,NA,FALSE,TRUE,15.305,-7.41665864335,8.80210471914106,NA
"6",0,6,0.828059979365207,15,28.8309720650432,0.528165574089508,34.4592688998091,16.9592868624022,NA,FALSE,TRUE,17.105,-7.4166913482736,8.80172981430181,NA
"7",0,7,0.0548452145012561,12,47.8766929882113,0.327746037495672,19.4562289034366,38.7008629943011,NA,FALSE,TRUE,16.005,-7.44888256031103,8.8344300360547,NA
"8",0,8,0.215235435840441,21,42.8108306412469,0.185071316940594,38.7245129124494,34.4383679228486,NA,FALSE,TRUE,15.652,-7.42444210545116,8.80987638216198,NA
"9",1,9,0.615582219675254,25,50,0.1,50,50,0.644879612122144,TRUE,TRUE,19.251,-7.41788880560839,8.8034746919415,NA
"10",1,10,0.644707885612554,25,50,0.133501795158908,50,46.0546501961582,0.634881569920682,FALSE,TRUE,18.896,-7.41734958868842,8.80284242884988,NA
"11",1,11,0.576762530351846,25,48.2224097699498,0.1,45.382106367578,50,0.630885260032027,FALSE,TRUE,19.802,-7.41789256256393,8.80348747366116,NA
"12",1,12,0.535424178141719,25,50,0.151282848215317,47.4659027059884,50,0.612252586909653,FALSE,TRUE,19.057,-7.41778637214593,8.80305183239386,NA
"13",1,13,0.566387323055311,25,48.6636777752343,0.1,48.1822512316913,49.738779366565,0.630809828638638,FALSE,TRUE,19.118,-7.41812723256399,8.80370783184889,NA
"14",1,14,0.652844547417395,25,48.6025306729141,0.1,48.3436983831084,50,0.634305674583799,FALSE,TRUE,18.928,-7.41753524097832,8.80319650732802,NA
"15",1,15,0.558833205890235,25,50,0.1,50,49.4384245880459,0.630934177921046,FALSE,TRUE,20.396,-7.41829425746552,8.80385389005084,NA
"16",1,16,0.616575488338774,25,50,0.132979506725116,46.8190582883297,46.1794580569858,0.636205658414947,FALSE,TRUE,19.417,-7.41738131487023,8.80282895537287,NA
"17",1,17,0.561500773199548,25,50,0.1,50,45.0590192750941,0.628659754502481,FALSE,TRUE,21.052,-7.41824612128003,8.80380940705009,NA
"18",1,18,0.476287006134216,25,48.5955449843783,0.1,48.7042077193216,50,0.607316952298612,FALSE,TRUE,20.099,-7.41909316301464,8.80460725429979,NA
"19",1,19,0.625614894823074,25,46.0678560854113,0.1,48.8647352557296,48.0374089307329,0.639996341444311,FALSE,TRUE,18.898,-7.41766459693063,8.803097043719,NA
"20",1,20,0.531186926327288,25,46.7308969256005,0.118635629903964,50,50,0.617024253645266,FALSE,TRUE,17.987,-7.41782302481093,8.80316157730524,NA
"21",1,21,0.619205323646057,25,50,0.112150504678671,44.6015468626251,50,0.637917438875154,FALSE,TRUE,19.571,-7.41741734561421,8.80275767505143,NA
"22",1,22,0.573487866433777,25,47.6083831131358,0.105336001450838,44.5399056737061,48.5938841695828,0.626425204675225,FALSE,TRUE,20.232,-7.41760326219642,8.80305431660332,NA
"23",1,23,0.649353287838236,25,50,0.1,50,50,0.638406123787603,FALSE,TRUE,19.239,-7.41754151095734,8.80304662638093,NA
"24",1,24,0.683278906719218,25,50,0.1,50,50,0.619246620679605,FALSE,TRUE,21.005,-7.41793602587129,8.8031402383724,NA
"25",1,25,0.627209541214887,25,47.7170058060018,0.1,49.7263680965263,48.9618779006509,0.642115016609956,FALSE,TRUE,19.963,-7.41805177560325,8.80332157962059,NA
"26",1,26,0.582426375411764,25,50,0.1,46.9492685970161,43.4604827184997,0.631318058002283,FALSE,TRUE,19.804,-7.41811114512245,8.80338403312481,NA
"27",1,27,0.550068682258017,25,50,0.117817686155795,50,50,0.626108879184123,FALSE,TRUE,18.993,-7.41766947281969,8.80329746834094,NA
"28",1,28,0.649489764236537,25,48.8374271350885,0.1,50,50,0.637634162307613,FALSE,TRUE,19.628,-7.4180326260846,8.80372370733233,NA
"29",1,29,0.645358351761327,25,50,0.1,48.5377138931415,46.4415664724549,0.63603925075175,FALSE,TRUE,18.741,-7.41820214233925,8.8034233033278,NA
"30",1,30,0.692169369196117,25,49.1498809341419,0.101821047583469,50,48.4271119597432,0.609741872196501,FALSE,TRUE,19.581,-7.41748409974741,8.80299130413018,NA
"31",1,31,0.622194981774967,25,47.9008060801411,0.169034348178459,50,45.3876708502736,0.634991848227802,FALSE,TRUE,20.092,-7.41719678611819,8.80276404462684,NA
"32",1,32,0.519237640421059,25,49.0803500753328,0.1,50,50,0.617463440986111,FALSE,TRUE,19.277,-7.41893152670768,8.80437416519385,NA
"33",1,33,0.543025079799375,25,50,0.1,49.0306545005182,48.2175225723882,0.622336213163452,FALSE,TRUE,18.993,-7.41847504525036,8.80421197984179,NA
"34",1,34,0.624235031645712,25,45.6651219676347,0.1,48.7744468450754,49.2946391784646,0.640665707886715,FALSE,TRUE,20.178,-7.41791027681534,8.80373800754701,NA
"35",1,35,0.700396878946317,25,48.940901836811,0.1,45.6173230529465,49.7951330802612,0.59866963013481,FALSE,TRUE,18.233,-7.41735403851672,8.80318485285389,NA
"36",1,36,0.634883857856988,25,49.1583547804838,0.1,46.2570374391813,49.0626486131287,0.63775698259575,FALSE,TRUE,19.474,-7.41770579554251,8.80352917653479,NA
"37",1,37,0.695393283991325,25,50,0.1,47.9564019550656,48.6564100667553,0.605786736156114,FALSE,TRUE,19.892,-7.41756320496572,8.80311033536174,NA
"38",1,38,0.515303700714379,25,50,0.201032246180943,49.9563442843887,50,0.604443581230458,FALSE,TRUE,18.825,-7.41738689640415,8.8028242096101,NA
"39",1,39,0.593572971338066,25,50,0.1,50,50,0.642411296716343,FALSE,TRUE,19.649,-7.41762390433021,8.80333638307716,NA
"40",1,40,0.679753114189984,25,49.7473129178079,0.142970759349426,50,47.6026476443051,0.615510287992506,FALSE,TRUE,17.789,-7.41717376422072,8.80272720444974,NA
"41",1,41,0.49633721800802,25,46.8079940047676,0.1,50,47.7826540928871,0.607706662921252,FALSE,TRUE,19.292,-7.41931293156538,8.80476341736472,NA
"42",1,42,0.597839710572105,25,49.7546179819373,0.198163571889277,48.662878473245,50,0.632260566637391,FALSE,TRUE,17.995,-7.41711791767577,8.80261478167981,NA
"43",1,43,0.498885459547381,25,46.8657327092572,0.125397757322029,50,50,0.607813602431654,FALSE,TRUE,18.531,-7.41845035022247,8.8039605953896,NA
"44",1,44,0.53122317543402,25,44.8386258468269,0.1,48.6829947437849,50,0.615715131169066,FALSE,TRUE,17.049,-7.41823785103264,8.80363363411295,NA
"45",1,45,0.581034605868241,25,48.3506917147884,0.1,50,47.1886790104451,0.636600734663291,FALSE,TRUE,17.503,-7.41827755901592,8.80356000936012,NA
"46",1,46,0.588326267857297,25,47.955340709098,0.125066943234513,50,50,0.638041030570278,FALSE,TRUE,17.764,-7.41769130508074,8.80318663601323,NA
"47",1,47,0.666973203375029,25,48.5225169171254,0.109709988145041,48.8350755186065,47.8604629560956,0.624901934978701,FALSE,TRUE,17.339,-7.4180749620819,8.80339275610892,NA
"48",1,48,0.61694941129309,25,49.7955106704659,0.129969794712751,50,50,0.642343567324804,FALSE,TRUE,16.771,-7.41838245566433,8.80351506283096,NA
"49",2,49,0.655559089737675,25,50,0.400701516140631,0,50,0.56377468488269,TRUE,TRUE,30.707,-7.41772564005332,8.80142316158248,NA
"50",2,50,0.709216370844789,25,50,0.386586459148516,0,49.3495231245718,0.434802682991583,FALSE,TRUE,33.674,-7.41782329613118,8.80184160238434,NA
"51",2,51,0.689864071809484,25,45.2855948704155,0.334742362350511,0,50,0.465026927075706,FALSE,TRUE,32.566,-7.4175932262931,8.80233447917629,NA
"52",2,52,0.611834115291628,25,49.9245068569547,0.380670309662919,0.860649667476077,49.4322481818591,0.42509630061194,FALSE,TRUE,30.345,-7.41759747520114,8.80172624475933,NA
"53",2,53,0.646360606926544,25,50,0.376494649357693,1.32621679955671,49.7923432479897,0.543154554868129,FALSE,TRUE,31.156,-7.41753652576993,8.80150861655391,NA
"54",2,54,0.69615655214344,25,45.0451454758825,0.433516134071877,0,50,0.482892957955525,FALSE,TRUE,32.307,-7.41774379974584,8.80156359690603,NA
"55",2,55,0.716694497204462,25,48.4009831683802,0.435706644393564,1.12742320851108,50,0.446291934863718,FALSE,TRUE,30.407,-7.41772789377749,8.80165981138264,NA
"56",2,56,0.56523180468193,25,50,0.438313605372159,1.14156975886834,50,0.479494269619696,FALSE,TRUE,33.361,-7.41761380417437,8.80177543817035,NA
"57",2,57,0.627810597832721,25,44.9576960355001,0.405553917174391,0.987362037123544,46.3353081013906,0.494246812293957,FALSE,TRUE,31.519,-7.41767148716455,8.80147047886926,NA
"58",2,58,0.589963179049161,25,47.5788225887684,0.3639347500654,1.19373886363919,50,0.446213171841618,FALSE,TRUE,31.069,-7.41761288030236,8.80172200108372,NA
"59",2,59,0.717602572987715,25,49.4432474943312,0.397766433384553,2.72692397879923,50,0.431285334368443,FALSE,TRUE,29.02,-7.417450353968,8.80176228813852,NA
"60",2,60,0.616027548617303,25,49.942290464569,0.409190557880563,1.49828611156964,50,0.441717703348682,FALSE,TRUE,33.476,-7.41735199616501,8.80133106595828,NA
"61",2,61,0.660694169530405,25,50,0.418936003180413,0,50,0.557472970144422,FALSE,TRUE,33.935,-7.41766385296751,8.80209111262651,NA
"62",2,62,0.665532646467816,25,46.2128181497311,0.46082355494075,1.90466559605359,48.6073128513343,0.533071579987344,FALSE,TRUE,33.997,-7.41753450703898,8.80122504480614,NA
