"","are_tot","are_cal_q","are_cal_y","crps_result","seed","scenario"
"1",0.183627862757412,0.178048388437774,0.0805162652805566,347.468326023978,1,"0"
"2",0.145445224509215,0.155465086039901,0.0759314939031626,407.064968925785,1,"1"
"3",0.165631966454606,0.177410743234033,0.0865461271427548,392.186316538599,1,"2"
"4",0.215748520519024,0.211621041959383,0.0808796226502985,377.65487734228,1,"3"
"5",0.165148456041847,0.156007986632015,0.0870566204250731,332.620510178511,1,"4"
"6",0.120387349512856,0.121576944533656,0.0399215157914131,360.155545998795,2,"0"
"7",0.164746176953352,0.157385137419228,0.0486340888859682,396.222807852572,2,"1"
"8",0.278647854717289,0.227397011506389,0.131320978051932,390.153817972863,2,"2"
"9",0.266421475225564,0.250585183374448,0.0634378479140763,382.66830026869,2,"3"
"10",0.122787893912486,0.122698924266968,0.0765240572230686,336.57087863845,2,"4"
"11",0.133336895032807,0.133908161658411,0.0658770480375819,366.144668211178,3,"0"
"12",0.172862727663489,0.162001116615778,0.0343292466461728,401.359862124738,3,"1"
"13",0.158039325771025,0.157825335147286,0.0697357813642414,405.98481631127,3,"2"
"14",0.19128801623019,0.190585596865127,0.0886377479843484,386.269799897886,3,"3"
"15",0.11941522761419,0.133729186052053,0.0724883721864412,345.331452972917,3,"4"
"16",0.125242078057561,0.115637969278166,0.0342876795778839,369.369866992563,4,"0"
"17",0.177163589836772,0.173006935554565,0.0745360307626567,396.550472858941,4,"1"
"18",0.134916911582338,0.125260623448799,0.0262860188191082,413.976705418275,4,"2"
"19",0.314335006821738,0.264169468469256,0.0861864807964776,372.490921421558,4,"3"
"20",0.110423693530945,0.114095581794246,0.060587357729237,339.051377709888,4,"4"
"21",0.160120804834524,0.137615300647796,0.0341423172127084,369.471139692349,5,"0"
"22",0.20008653322803,0.19411390308834,0.124652350057573,380.230555862737,5,"1"
"23",0.158057915268394,0.138689191829991,0.0352737276710539,409.016584582354,5,"2"
"24",0.169698873717719,0.172712554331302,0.0439505590504055,398.120939934303,5,"3"
"25",0.151252490419428,0.126068833852127,0.0385878851168192,343.847792235106,5,"4"
"26",0.190447108698657,0.114690785035513,0.0504018136243731,351.792735209963,6,"0"
"27",0.20541967699341,0.19188203551591,0.125001576913462,413.010920803803,6,"1"
"28",0.163729043650789,0.167319312271378,0.0735467546410807,397.781549324345,6,"2"
"29",0.218560343282739,0.21153174225408,0.0651145652988171,390.882318420961,6,"3"
"30",0.124187349705952,0.113572982666879,0.0570279578094251,350.804704222965,6,"4"
"31",0.112522702094622,0.105137131044644,0.0268398415761366,365.239543132006,7,"0"
"32",0.198518083460695,0.179669310347712,0.0804933904497782,408.167929981934,7,"1"
"33",0.139044843969668,0.135562557825868,0.0633646897477093,403.149777227302,7,"2"
"34",0.199436111951325,0.198576696224149,0.041224444395647,389.334438263296,7,"3"
"35",0.119456269080712,0.107195817653948,0.0449008440968338,342.191302307832,7,"4"
"36",0.148183151210603,0.137544276784866,0.0266775054023432,370.555802154704,8,"0"
"37",0.164392556394725,0.154623964772152,0.0346190159602708,406.564453261517,8,"1"
"38",0.163788065101554,0.157789343358923,0.0584350494966336,410.670885039123,8,"2"
"39",0.188256039658428,0.178923445516908,0.00948673579960356,400.954172538618,8,"3"
"40",0.122988169123909,0.122378262864919,0.0289292558960219,337.529209404293,8,"4"
"41",0.120083581895907,0.116427107354953,0.0539791309274481,366.662299519727,9,"0"
"42",0.167403411924637,0.17066733309291,0.0736694358632793,400.592842377274,9,"1"
"43",0.129976383441035,0.142143095274012,0.0674422202883463,404.183227701338,9,"2"
"44",0.214087532210413,0.204602323244757,0.0952872129616354,386.390740518673,9,"3"
"45",0.134422542754768,0.122450461378751,0.0959731863528933,348.165869043601,9,"4"
"46",0.118031582843909,0.12908179608413,0.0668573411801496,368.521556600274,10,"0"
"47",0.189893376726891,0.186750984807471,0.0911681284559372,396.941292241188,10,"1"
"48",0.169621565482604,0.161993609898123,0.089567977563149,412.262521632575,10,"2"
"49",0.18418710750513,0.193011745237692,0.0482176781998707,395.149751275649,10,"3"
"50",0.148608002382457,0.127903793374147,0.0701652468329009,347.059482095253,10,"4"
"51",0.131817872352122,0.133240014221482,0.029646911263755,384.170956673262,11,"0"
"52",0.163032316744322,0.171056218852174,0.0619710709110423,403.994882819432,11,"1"
"53",0.12252364657792,0.13464065588449,0.0408888253839097,411.013000192765,11,"2"
"54",0.233195973315375,0.218615176967057,0.0410610215922752,394.102575638377,11,"3"
"55",0.121973719770795,0.121269159921751,0.0685510613272518,346.860655179869,11,"4"
"56",0.154254416050945,0.138770896809866,0.0334032675350598,364.805920591655,12,"0"
"57",0.155705447121109,0.149188949482981,0.0211860769462887,397.772849231281,12,"1"
"58",0.17096090370438,0.163699117035439,0.0898444062669936,403.406778039997,12,"2"
"59",0.216625849260827,0.215143419880086,0.0590638376441856,390.789582942392,12,"3"
"60",0.130961494203996,0.124741061521487,0.0385563974091574,332.857082477767,12,"4"
"61",0.122360348703845,0.13337810087284,0.0423979050307049,366.7729056788,13,"0"
"62",0.178256758216825,0.175865606909306,0.0491249570196751,412.755877294489,13,"1"
"63",0.144209570343157,0.148155967346345,0.0475189369638384,390.361694776717,13,"2"
"64",0.22790274324116,0.220644955694175,0.0265728554184743,384.930729436186,13,"3"
"65",0.139218626214693,0.138577986693304,0.069683218894125,341.511628719628,13,"4"
"66",0.129880846997117,0.129484379829529,0.0518907928806316,383.429093733543,14,"0"
"67",0.165826215361023,0.174323848056111,0.0453518942466291,415.463940003558,14,"1"
"68",0.159408321092377,0.154892543337961,0.0831313493003474,400.862696355346,14,"2"
"69",0.16027044772671,0.149732603144086,0.0310935433929651,387.072876535543,14,"3"
"70",0.115349111564058,0.123180538659329,0.0492081120252467,340.643921965461,14,"4"
"71",0.136469193250693,0.139887505293419,0.0640973051423223,375.826552010891,15,"0"
"72",0.141771137038679,0.151292955725015,0.054975140077565,400.950721060402,15,"1"
"73",0.163861182478052,0.158488261618459,0.0590538065035123,402.020073991907,15,"2"
"74",0.204856460758667,0.193959496846555,0.0547007752414805,381.183718830311,15,"3"
"75",0.127378604062836,0.133289237029695,0.052901933037783,333.532223275621,15,"4"
"76",0.142961900053894,0.138333694510489,0.0437693021885234,364.831247631489,16,"0"
"77",0.145100276182686,0.143362956027818,0.0365767995248415,407.451660096908,16,"1"
"78",0.246646159701146,0.194220609969117,0.157116943597166,388.599902276889,16,"2"
"79",0.233919061305173,0.224044440862238,0.0571080884728142,394.150418494005,16,"3"
"80",0.132852232689554,0.113719204980723,0.0645505714995289,339.442667802548,16,"4"
"81",0.147558294632127,0.139189863318793,0.0384264222157945,371.119534445399,17,"0"
"82",0.159397578423198,0.154569417406868,0.0585417054187069,404.110964066527,17,"1"
"83",0.153431023525158,0.154922423256003,0.030849763919589,412.508055606039,17,"2"
"84",0.196459441913084,0.192111230158198,0.0261685469889962,396.549418423558,17,"3"
"85",0.129235333651094,0.127755177061253,0.0473258866010718,346.371174073324,17,"4"
"86",0.126667111377731,0.136780447550895,0.0406949183480272,365.111906128834,18,"0"
"87",0.164513467293277,0.166651386635664,0.0559984272425164,402.846682735404,18,"1"
"88",0.118536923227921,0.130935748359424,0.0661458338030434,407.759952632127,18,"2"
"89",0.202964026218673,0.195023370854538,0.0341353647898802,383.781583037278,18,"3"
"90",0.145010095576114,0.133692828907205,0.027443452499886,341.411404703694,18,"4"
"91",0.138497927432515,0.131278650243783,0.0334170065316898,364.738501285336,19,"0"
"92",0.140335267500357,0.145033088829874,0.032672076965657,407.395936910076,19,"1"
"93",0.146971498248905,0.150457105185507,0.0509646910153424,408.279477012778,19,"2"
"94",0.209901583864853,0.200354174541189,0.0360460081358936,395.122827607014,19,"3"
"95",0.118578216732232,0.131245352072881,0.0750814009751372,339.041233452151,19,"4"
"96",0.153792738730275,0.127172129462509,0.052603225265153,361.841991812442,20,"0"
"97",0.177058490114937,0.17257832367369,0.0549043796103037,401.687585990674,20,"1"
"98",0.260106268097851,0.222184931156743,0.167687318996346,382.043248746778,20,"2"
"99",0.206686968239519,0.199765498489802,0.0356023824497087,386.532774779619,20,"3"
"100",0.157274670018336,0.130241206345964,0.0496862112026013,338.534076611346,20,"4"
