are_tot,are_cal_q,are_cal_y,scenario,seed
0.212835968016365,0.187905780240485,0.122294874159714,1,1
0.271580888834384,0.249161390171667,0.221610067861632,2,1
0.303838841928258,0.247325303414901,0.0573347623573149,3,1
0.145828124860869,0.13849402539385,0.0427299000937071,4,1
0.118396139997308,0.116086412732235,0.0580999918333688,0,10
0.243246576771487,0.221468198655366,0.124925498777889,1,10
0.213053036961779,0.198913758454689,0.158731441005941,2,10
0.292416869169345,0.221309147484351,0.028650875652963,3,10
0.10984190130484,0.104729871920391,0.0386002975094844,4,10
0.133866238085002,0.135313859618171,0.0246840613499457,0,11
0.218531100743981,0.196755076228647,0.127884974881925,1,11
0.280070545183807,0.250543640037134,0.206225327258258,2,11
0.319375386338853,0.250399424284781,0.0547936665244314,3,11
0.115517233980227,0.116736305141699,0.0335403879935645,4,11
0.127366163579489,0.127830138812507,0.0506371478129988,0,12
0.257420470922076,0.218215810453697,0.166637652107368,1,12
0.295746045832558,0.265512654706873,0.238839286185955,2,12
0.300187373157693,0.245545258686479,0.0287276047375557,3,12
0.11421212479084,0.111216363966527,0.0370009811893202,4,12
0.130459372118178,0.131563546209044,0.0322172819041871,0,13
0.230753355591913,0.207481596569762,0.116414818777915,1,13
0.303318530217929,0.267002462502876,0.199121291502082,2,13
0.317726750370517,0.258232016203303,0.0297192550252338,3,13
0.125849135104872,0.126051070014855,0.0333933511097431,4,13
0.12481558255206,0.123023636179099,0.0294282953960646,0,14
0.203991739269023,0.187899320829711,0.100357021866573,1,14
0.275921114118896,0.242540380548408,0.212627262972961,2,14
0.315162087426677,0.240899053630398,0.0533669695717905,3,14
0.110309437076814,0.110627605052203,0.0399691799461825,4,14
0.14304145275476,0.133281157602779,0.0327097758269121,0,15
0.222686858781026,0.196304317881156,0.133107924527606,1,15
0.265351204406245,0.239146487020352,0.176763344306395,2,15
0.276133059919032,0.217437659330869,0.0144645008229884,3,15
0.131896564334394,0.12775071650749,0.0241038547680521,4,15
0.133837536489685,0.128641808105361,0.0209164182335415,0,16
0.223605198729734,0.1914387459112,0.123592928854479,1,16
0.236821797859581,0.209490762231349,0.190091017245478,2,16
0.302715176559382,0.247323957993766,0.0388766137791641,3,16
0.106823576284296,0.0999698771588156,0.0273722625682818,4,16
0.159060504953404,0.150779102677778,0.0464650886478626,0,17
0.218776675237408,0.196690247041346,0.121741603919568,1,17
0.242669903604855,0.209728720757716,0.161298488102132,2,17
0.282913572868457,0.21736007832971,0.0289023358207885,3,17
0.121703019035774,0.12018491424321,0.0493106764980051,4,17
0.136157465026553,0.137509297856692,0.0408107380802792,0,18
0.214541031931859,0.187810644342196,0.108908522181459,1,18
0.231955770074273,0.197400955528778,0.174335674595808,2,18
0.280252506156972,0.212155739970728,0.0398471047318163,3,18
0.121371615547592,0.120841228656891,0.0429769860551212,4,18
0.161885870305654,0.153013742214319,0.0608641454974397,0,19
0.246158148768141,0.209605829978679,0.174356748332835,1,19
