"","Epoch","Iteration","num_layers","num_nodes","optim","activation","lr","xi","eps","batch_size","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,9,8,1,2,0.0828511188365519,0.346835936740972,0.0318725705216639,1226,NA,FALSE,TRUE,6094.91,-6.23780107498169,6.28319711685181,NA
"2",0,2,9,2,2,1,0.469495704995375,0.49838540532859,0.104831094823312,3915,NA,FALSE,TRUE,7307.314,-7.26609840393066,7.29901651099876,NA
"3",0,3,9,9,2,1,0.401416969872126,0.48600514951162,0.178725599460304,196,NA,FALSE,TRUE,6719.697,-5.97677593231201,5.97382619025586,NA
"4",0,4,8,8,1,2,0.0285768746397225,0.230595083269291,0.0149989018053748,4508,NA,FALSE,TRUE,8893.46,-7.39241609573364,7.40626206328903,NA
"5",0,5,9,7,2,1,0.13249707850616,0.126451981978025,0.118303918819875,900,NA,FALSE,TRUE,3189.154,-6.20947227478027,6.2324529540235,NA
"6",0,6,10,6,1,2,0.366759250639286,0.0477624173322692,0.00275811030995101,2821,NA,FALSE,TRUE,6254.823,-6.82467708587646,6.99267868609042,NA
"7",0,7,6,2,1,1,0.0181434615884209,0.404378262748942,0.169063584131654,752,NA,FALSE,TRUE,5004.88,-5.62995471954346,5.63152046974726,NA
"8",0,8,8,4,2,1,0.185463435446681,0.428316855703015,0.49789499805076,1491,NA,FALSE,TRUE,2241.813,-8.1922327041626,8.23511094774519,NA
"9",0,9,8,3,1,2,0.245438392810128,0.317197188411374,0.478312753329519,4299,NA,FALSE,TRUE,5483.382,-8.38176527023315,8.72823892211914,NA
"10",0,10,7,7,1,2,0.207315119377291,0.0749434341024607,0.382280222037807,4540,NA,FALSE,TRUE,5758.679,-13.7809883117676,13.0905099122421,NA
"11",0,11,2,4,1,1,0.352192427209252,0.0976062040147372,0.152187302869279,330,NA,FALSE,TRUE,8746.098,-5.91883249282837,5.95316515151096,NA
"12",0,12,7,3,1,2,0.171950954271713,0.430122449749615,0.0275377308693714,628,NA,FALSE,TRUE,4756.157,-5.46733865737915,5.48293888533886,NA
"13",0,13,10,10,2,1,0.335261706525809,0.386418190244585,0.429693951688241,791,NA,FALSE,TRUE,3301.888,-21.265438079834,21.2895297768545,NA
"14",0,14,9,5,1,2,0.286607564513269,0.185226077011321,0.266836368390359,3389,NA,FALSE,TRUE,8224.333,-11.3408533096313,10.8651197310417,NA
"15",0,15,7,3,2,2,0.262621845056675,0.322155271307565,0.182983654499985,4331,NA,FALSE,TRUE,7387.595,-7.58203887939453,7.67656770944595,NA
"16",0,16,10,6,2,2,0.414284349669539,0.253215593849309,0.132105197997298,2906,NA,FALSE,TRUE,4424.698,-8.03726329803467,8.02725093629625,NA
"17",0,17,7,5,2,1,0.146845179137401,0.278867491520941,0.39737572837621,2479,NA,FALSE,TRUE,5660.437,-8.68526210784912,8.74718293689546,NA
"18",0,18,7,9,2,1,0.438412909043417,0.331594964356627,0.37007014536066,4866,NA,FALSE,TRUE,8650.084,-18.7069931030273,18.8354067195546,NA
"19",0,19,5,4,1,2,0.0446019080914324,0.00796016567153856,0.293657478333917,1007,NA,FALSE,TRUE,4209.128,-6.24828491210937,6.2205420395614,NA
"20",0,20,3,6,2,1,0.0729754867184442,0.444251800107304,0.0817417423380539,4710,NA,FALSE,TRUE,7647.965,-7.35670099258423,7.44072536913303,NA
"21",0,21,8,5,1,1,0.450274895315268,0.375488733381499,0.482659860076383,415,NA,FALSE,TRUE,5681.153,-11.6268087387085,11.3274487571558,NA
"22",0,22,4,6,2,1,0.223185090064281,0.41392108523054,0.249299974022433,3962,NA,FALSE,TRUE,4963.27,-7.9468921661377,7.95068561059457,NA
"23",0,23,3,4,1,1,0.114434332488244,0.467191689594183,0.46933587326901,2564,NA,FALSE,TRUE,6548.203,-7.36016759872436,7.45989671800195,NA
"24",0,24,6,6,2,1,0.318023663359648,0.146969573455863,0.334117451009806,4967,NA,FALSE,TRUE,7240.184,-12.2709827423096,12.4911184220087,NA
"25",0,25,8,3,1,1,0.379669351792894,0.392796013730112,0.319512012845371,4655,NA,FALSE,TRUE,7394.325,-8.91230659484863,8.77019625124724,NA
