"","Epoch","Iteration","minbucket","cp","minsplit","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,27,0.00183604945066941,36.5851582643855,NA,FALSE,TRUE,0.908000000000015,-0.888546818633445,0.88850322188524,NA
"2",0,2,19,0.00767553802136879,10.7747836253606,NA,FALSE,TRUE,0.513000000000034,-0.888546818633445,0.88850322188524,NA
"3",0,3,10,0.00701039557946852,33.1776845623506,NA,FALSE,TRUE,0.605999999999995,-0.888546818633445,0.88850322188524,NA
"4",0,4,46,0.00577753064798549,7.53578019482084,NA,FALSE,TRUE,0.734000000000037,-0.888546818633445,0.88850322188524,NA
"5",0,5,37,0.00234827283273077,17.3527353513846,NA,FALSE,TRUE,0.979000000000042,-0.888546818633445,0.88850322188524,NA
"6",0,6,18,0.00167708406163069,38.7436047020322,NA,FALSE,TRUE,1.13300000000004,-0.888547567704225,0.88850322188524,NA
"7",0,7,10,0.00499728785140591,20.7202059236914,NA,FALSE,TRUE,0.606999999999971,-0.888547567704225,0.88850322188524,NA
"8",0,8,24,2.21638361461314e-06,43.6187153156102,NA,FALSE,TRUE,1.12800000000004,-0.888546818633445,0.88850322188524,NA
"9",0,9,9,0.00958032406088954,6.07861115734559,NA,FALSE,TRUE,0.728000000000065,-0.888546818633445,0.88850322188524,NA
"10",0,10,35,0.00093611488810952,28.0508572055725,NA,FALSE,TRUE,0.52800000000002,-0.888547567704225,0.88850322188524,NA
"11",0,11,7,0.00156437522629991,40.489326488208,NA,FALSE,TRUE,0.721000000000004,-0.888546818633445,0.88850322188524,NA
"12",0,12,15,0.00630182593648404,18.4757962253317,NA,FALSE,TRUE,0.811000000000035,-0.888546818633445,0.88850322188524,NA
"13",0,13,21,0.00352811820614071,1.57299043192063,NA,FALSE,TRUE,0.201000000000022,-0.888828567685818,0.88850322188524,NA
"14",0,14,43,0.00503415300294947,49.7188873780519,NA,FALSE,TRUE,0.668999999999983,-0.888546818633445,0.88850322188524,NA
"15",0,15,41,0.00999377063764882,45.2738192733843,NA,FALSE,TRUE,0.853000000000065,-0.888547567704225,0.88850322188524,NA
"16",0,16,38,0.00310668466454525,41.3375342383934,NA,FALSE,TRUE,0.669999999999959,-0.888546818633445,0.88850322188524,NA
"17",0,17,50,0.00109115092504379,3.06729031909723,NA,FALSE,TRUE,0.42999999999995,-0.888546818633445,0.88850322188524,NA
"18",0,18,42,0.000612866548848672,13.3876797332894,NA,FALSE,TRUE,0.581999999999994,-0.888547567704225,0.88850322188524,NA
"19",0,19,7,0.00418717700866188,15.5974449284188,NA,FALSE,TRUE,0.586999999999989,-0.888547567704225,0.88850322188524,NA
"20",0,20,5,0.000251322807481105,27.2672227245802,NA,FALSE,TRUE,1.00700000000006,-0.888547567704225,0.88850322188524,NA
"21",0,21,15,0.00289347345477955,28.9314137998363,NA,FALSE,TRUE,0.651000000000067,-0.888547567704225,0.88850322188524,NA
"22",0,22,40,0.00245995581792301,4.55673695604783,NA,FALSE,TRUE,0.614000000000033,-0.888546818633445,0.88850322188524,NA
"23",0,23,12,0.000546380402474428,14.6666579597257,NA,FALSE,TRUE,0.222000000000094,-0.888828567685818,0.88850322188524,NA
"24",0,24,1,0.00541621781310234,24.0607789040683,NA,FALSE,TRUE,0.551000000000045,-0.888546818633445,0.88850322188524,NA
"25",0,25,2,0.00361485491418838,48.5598817094043,NA,FALSE,TRUE,0.684999999999945,-0.888546818633445,0.88850322188524,NA
"26",0,26,25,0.00433613395405144,46.822208533762,NA,FALSE,TRUE,0.526000000000067,-0.888546818633445,0.88850322188524,NA
"27",0,27,29,0.00120835863150652,9.74281924535055,NA,FALSE,TRUE,0.682999999999993,-0.888546818633445,0.88850322188524,NA
"28",0,28,26,0.00203713412755175,33.6944918078603,NA,FALSE,TRUE,0.622999999999934,-0.888546818633445,0.88850322188524,NA
"29",0,29,30,0.00665125454663829,40.016493024053,NA,FALSE,TRUE,0.894999999999982,-0.888546818633445,0.88850322188524,NA
"30",0,30,22,0.00967543540722551,5.38893348007929,NA,FALSE,TRUE,0.812999999999988,-0.888546818633445,0.88850322188524,NA
"31",0,31,18,0.0082454341331813,47.4865132809384,NA,FALSE,TRUE,0.709999999999923,-0.888546818633445,0.88850322188524,NA
"32",0,32,31,0.00611434907612594,2.21763872403186,NA,FALSE,TRUE,0.638000000000034,-0.888546818633445,0.88850322188524,NA
"33",0,33,20,0.00264368292339964,16.5068132713484,NA,FALSE,TRUE,0.282000000000039,-0.888828567685818,0.88850322188524,NA
"34",0,34,4,0.00786572522017328,30.1270752130775,NA,FALSE,TRUE,0.616999999999962,-0.888546818633445,0.88850322188524,NA
"35",0,35,28,0.00383216934653247,25.1290397492656,NA,FALSE,TRUE,0.564999999999941,-0.888546818633445,0.88850322188524,NA
"36",0,36,47,0.00327035072411029,19.30726203823,NA,FALSE,TRUE,0.73599999999999,-0.888546818633445,0.88850322188524,NA
"37",0,37,13,0.00522277342311992,44.3893554021465,NA,FALSE,TRUE,0.626999999999953,-0.888547567704225,0.88850322188524,NA
"38",0,38,35,0.00456695469271735,12.4420977329509,NA,FALSE,TRUE,0.616999999999962,-0.888546818633445,0.88850322188524,NA
"39",0,39,49,0.00681836382045062,37.2944861728139,NA,FALSE,TRUE,0.719000000000051,-0.888547567704225,0.88850322188524,NA
"40",0,40,44,0.00479618878591577,31.5623532684939,NA,FALSE,TRUE,0.687000000000012,-0.888546818633445,0.88850322188524,NA
