"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"1",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.507419155862,3.60955405235291,41.6438893715541
"2",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.50712486293655,3.61150207519531,39.4414767742157
"3",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.50706671122746,3.61259489059448,47.5398916244507
"4",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.50688171191087,3.6134289264679,43.1610229293505
"5",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.50712254593215,3.61281280517578,48.7151781241099
"6",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.50717257941387,3.61167497634888,70.8491549928983
"7",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.50690792618627,3.61342248916626,53.2341677983602
"8",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.50722064920782,3.61360545158386,47.4624003012975
"9",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.50753780055021,3.61373696327209,53.4129938403765
"10",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.50975888158549,3.6078058719635,114.354041834672
"11",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51925677003104,3.61481008529663,32.3458092331886
"12",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.519256604566,3.61481041908264,36.0200838208199
"13",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.50722855105663,3.61113123893738,45.1650988856951
"14",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51934769256805,3.6148097038269,42.0476121981939
"15",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.519242502843,3.61481041908264,37.4060882846514
"16",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.50822761298632,3.61018691062927,38.7151966412862
"17",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.50689227176917,3.6122311592102,217.466123155753
"18",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.51932182471162,3.61480956077576,45.2024918238322
"19",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.50883100679926,3.61365180015564,48.9627502799034
"20",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.5070427357379,3.61266031265259,50.8339969356855
"21",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.50715925846985,3.61419706344604,81.3260099013646
"22",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.50715007280525,3.61348218917847,35.7227331797282
"23",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.5071435505447,3.61326723098755,75.37471524477
"24",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.50748101183406,3.61211547851563,83.5223814924558
