"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"35",1,1e-16,3,2.83615359189663e-05,61,0.977569909461668,0.980925884055905,0.00493564060867793,10.554992945208,1.02426763772964
"36",20,1e-16,3,2.90511587920842e-05,62,0.977612503925804,0.980878788380469,0.00493253325370237,10.5548212657119,1.02426763772964
"351",50,1e-16,3,2.5819612190631e-05,61,0.977871172013381,0.980103358423385,0.00491448755421594,10.5534526525074,1.02426763772964
"39",100,1e-16,3,1.95720928492308e-05,64,0.978360719072495,0.980485415571308,0.00491075445866887,10.5526771651864,1.02426763772964
"47",1,1e-10,3,1.93599636570003e-05,83,0.977032115615683,0.981152788025972,0.00494801958109171,10.5550711835494,1.02426763772964
"40",20,1e-10,3,2.47144492916805e-05,66,0.977502283596484,0.980382122549389,0.00492278845989212,10.5548416156357,1.02426763772964
"43",50,1e-10,3,1.94798578731187e-05,71,0.977654695931826,0.980115408862202,0.00491545546399878,10.5534846506971,1.02426763772964
"49",100,1e-10,3,1.3147667398271e-05,87,0.977957819485655,0.980597261254259,0.0049085735448369,10.5526990230276,1.02426763772964
"32",1,1e-05,3,3.81790967062439e-05,57,0.977699405807608,0.980495179827464,0.00493151494750408,10.5549423783437,1.02426763772964
"44",20,1e-05,3,1.99647908914386e-05,70,0.977410243280268,0.980455325860501,0.00492652513935686,10.5548643813362,1.02426763772964
"31",50,1e-05,3,3.00500478669494e-05,56,0.978015409757781,0.980500518569824,0.00491446399620678,10.5534322939313,1.02426763772964
"45",100,1e-05,3,1.67702391130025e-05,78,0.978105204617176,0.980133012600785,0.00490805186172114,10.5526834112148,1.02426763772964
"1",1,0.01,3,0.00678688920281977,0,1,0,0,10.5479882985781,1.02426763772964
"11",20,0.01,3,0.00678688920281977,0,1,0,0,10.5479882985781,1.02426763772964
"12",50,0.01,3,0.00678688920281977,0,1,0,0,10.5479882985781,1.02426763772964
"13",100,0.01,3,0.00678688920281977,0,1,0,0,10.5479882985781,1.02426763772964
