"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"2",1,1e-16,3,0.000437972789889072,1,0.887225967918873,0.887277593973675,0.00833810027607902,9.23770003567198,48.67662358284
"21",20,1e-16,3,0.000437972789889072,1,0.887225967918873,0.887376781480143,0.00833963281624623,9.23770003567198,48.67662358284
"22",50,1e-16,3,0.000437972789889072,1,0.887225967918873,0.887607333834487,0.00834018481752927,9.23770003567198,48.67662358284
"23",100,1e-16,3,0.000437972789889072,1,0.887225967918873,0.887336522705674,0.00833860237264779,9.23770003567198,48.67662358284
"24",1,1e-10,3,0.000437972789889072,1,0.887225967918873,0.8873975865633,0.00833975994835866,9.23770003567198,48.67662358284
"25",20,1e-10,3,0.000437972789889072,1,0.887225967918873,0.887328650288426,0.0083382924796835,9.23770003567198,48.67662358284
"26",50,1e-10,3,0.000437972789889072,1,0.887225967918873,0.887312355514527,0.00833938571282064,9.23770003567198,48.67662358284
"27",100,1e-10,3,0.000437972789889072,1,0.887225967918873,0.887489869111654,0.00834041186272392,9.23770003567198,48.67662358284
"28",1,1e-05,3,0.000437972789889072,1,0.887225967918873,0.887441570193508,0.00834068843655833,9.23770003567198,48.67662358284
"29",20,1e-05,3,0.000437972789889072,1,0.887225967918873,0.887389864809552,0.00833863563632692,9.23770003567198,48.67662358284
"210",50,1e-05,3,0.000437972789889072,1,0.887225967918873,0.887325484035221,0.00833860484176525,9.23770003567198,48.67662358284
"211",100,1e-05,3,0.000437972789889072,1,0.887225967918873,0.887282671073276,0.00833932457083402,9.23770003567198,48.67662358284
"212",1,0.01,3,0.01,1,0.887225967918873,0.887283725669831,0.00833898941073996,9.23770003567198,48.67662358284
"213",20,0.01,3,0.01,1,0.887225967918873,0.88734190876636,0.00833928835126417,9.23770003567198,48.67662358284
"214",50,0.01,3,0.01,1,0.887225967918873,0.887416088520653,0.00834041396726793,9.23770003567198,48.67662358284
"215",100,0.01,3,0.01,1,0.887225967918873,0.887726814039402,0.0083443985814571,9.23770003567198,48.67662358284
