"","Epoch","Iteration","num_layers","num_nodes","optim","activation","lr","xi","eps","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,4,10,1,2,0.476664059525635,0.000665107432287186,0.331019499767572,NA,FALSE,TRUE,6889.917,-18.3265468597412,18.5906424464012,NA
"2",0,2,9,3,2,1,0.155450131375296,0.447971143848263,0.376786492138635,NA,FALSE,TRUE,4594.888,-7.07613039016724,7.21301746563036,NA
"3",0,3,6,9,2,2,0.493903832706343,0.375435386030003,0.183272530192044,NA,FALSE,TRUE,4872.402,-8.93089904785156,9.06779477255685,NA
"4",0,4,8,4,2,1,0.295090941001801,0.119666473916732,0.0947997574671172,NA,FALSE,TRUE,5415.759,-6.70890989303589,6.84738541233296,NA
"5",0,5,6,2,2,1,0.109455400443403,0.21358835716499,0.428728419011459,NA,FALSE,TRUE,8092.685,-7.02598447799683,7.16400633247531,NA
"6",0,6,6,7,1,2,0.415523602683609,0.29528090542648,0.494844451446552,NA,FALSE,TRUE,6705.711,-16.7229351043701,16.2625416308033,NA
"7",0,7,3,3,2,1,0.435376080173394,0.169768343744799,0.0519357961905189,NA,FALSE,TRUE,7909.177,-6.49777154922485,6.63435333407655,NA
"8",0,8,5,3,2,2,0.359395562649774,0.133455510349013,0.11203441593796,NA,FALSE,TRUE,4458.584,-6.69613523483276,6.82888185540024,NA
"9",0,9,5,2,2,1,0.238648197917966,0.140334393386729,0.223134844487067,NA,FALSE,TRUE,8136.174,-6.83692388534546,6.97381325935831,NA
"10",0,10,2,3,2,2,0.244424820457725,0.329627490229905,0.28760771118803,NA,FALSE,TRUE,4699.11,-6.99680347442627,7.13366653092053,NA
"11",0,11,2,5,2,1,0.334555473415949,0.0828770196554251,0.480735447334591,NA,FALSE,TRUE,8117.303,-13.2790863037109,13.3834716913651,NA
"12",0,12,2,6,2,1,0.185582708505355,0.0573862442676909,0.355978300592396,NA,FALSE,TRUE,5238.042,-9.12615795135498,9.23044545309884,NA
"13",0,13,4,4,1,1,0.097571982965502,0.309905679237563,0.45753077061614,NA,FALSE,TRUE,7911.903,-7.27722339630127,7.52168065090569,NA
"14",0,14,3,5,2,1,0.0802941235977924,0.331081450404599,0.00229765248019248,NA,FALSE,TRUE,8145.649,-6.44620027542114,6.58309432633069,NA
"15",0,15,8,9,1,1,0.0266049146677367,0.191255511392374,0.466060485513881,NA,FALSE,TRUE,6233.254,-7.62208461761475,7.73298604926284,NA
"16",0,16,9,7,1,2,0.194806932284753,0.0130359022086486,0.384871097009163,NA,FALSE,TRUE,5560.38,-13.781446647644,13.196821372363,NA
"17",0,17,6,4,2,2,0.317043012764025,0.463317032258492,0.411482508254703,NA,FALSE,TRUE,4531.444,-8.34857482910156,8.48546566476627,NA
"18",0,18,10,6,1,1,0.0859016733070836,0.076395771112293,0.243766437936574,NA,FALSE,TRUE,5737.07,-7.99033126831055,7.95814017860257,NA
"19",0,19,9,3,1,1,0.0139381586901378,0.0224752052570693,0.324486990845762,NA,FALSE,TRUE,7504.804,-6.5374324798584,6.68015075411115,NA
"20",0,20,5,3,2,1,0.469788674447918,0.039102297925856,0.124470063715708,NA,FALSE,TRUE,7920.587,-6.93170499801636,7.06859036854335,NA
"21",0,21,3,8,1,1,0.0721449669581139,0.312787933435757,0.0385242139804177,NA,FALSE,TRUE,8259.446,-6.55480461120605,6.70074131050888,NA
"22",0,22,6,4,2,1,0.489530822650925,0.282432268464472,0.169037608485669,NA,FALSE,TRUE,4962.39,-7.27802658081055,7.4188463405687,NA
"23",0,23,4,6,2,2,0.287654900649795,0.20802041011164,0.202144231235143,NA,FALSE,TRUE,7992.818,-7.66537828445435,7.7994452885219,NA
"24",0,24,7,4,1,1,0.459157975771581,0.435702014949638,0.36137499211356,NA,FALSE,TRUE,5974.99,-8.61720447540283,9.65224077458284,NA
"25",0,25,3,5,1,1,0.404501946358476,0.401238191542216,0.250772846357431,NA,FALSE,TRUE,7672.841,-7.91523838043213,8.289965880647,NA
"26",0,26,3,2,1,2,0.368369076984702,0.364705121896695,0.470577389881946,NA,FALSE,TRUE,7672.73,-8.13347263336182,7.97165126216655,NA
"27",0,27,4,5,1,2,0.325770721683907,0.261070239855908,0.407368965162896,NA,FALSE,TRUE,6035.421,-9.95520668029785,10.32645415092,NA
"28",0,28,8,5,2,2,0.150620635028323,0.153721050783061,0.273114707597997,NA,FALSE,TRUE,5006.175,-7.90049028396606,8.024728580397,NA
"29",0,29,5,9,2,2,0.422215694259736,0.429623146916274,0.265368377619889,NA,FALSE,TRUE,5775.25,-9.82193565368652,9.95882840837751,NA
"30",0,30,7,3,1,1,0.389700701666554,0.271325057358481,0.140542766768485,NA,FALSE,TRUE,6925.8,-7.21978530883789,7.43795122224457,NA
"31",0,31,4,9,2,2,0.0481356624839362,0.253602574754041,0.211451323165093,NA,FALSE,TRUE,4931.715,-6.78777046203613,6.92431412910929,NA
"32",0,32,3,9,2,1,0.205459260666533,0.121735133701004,0.237896675225347,NA,FALSE,TRUE,7806.551,-8.64529647827148,8.7821879523141,NA
"33",0,33,8,9,1,1,0.0363423106986564,0.418859511967748,0.293898742669262,NA,FALSE,TRUE,8345.443,-7.13662929534912,7.25395999830596,NA
"34",0,34,3,8,1,1,0.128380029153358,0.490025310297497,0.173483306593262,NA,FALSE,TRUE,7401.615,-7.2595160484314,7.28473988163228,NA
"35",0,35,10,4,1,2,0.381006355841667,0.0653931993898004,0.0264817333826795,NA,FALSE,TRUE,5878.315,-6.85412340164185,7.01147454709423,NA
"36",0,36,9,8,1,2,0.449716249138536,0.0461990614933893,0.139813410420902,NA,FALSE,TRUE,8172.74,-12.7672988891602,13.0446742816847,NA
"37",0,37,7,7,1,2,0.270432735934481,0.0978222245187499,0.0181669026985764,NA,FALSE,TRUE,6837.809,-6.83111782073975,7.00827506318384,NA
"38",0,38,10,9,2,2,0.348237624410912,0.223695446460042,0.445527948681265,NA,FALSE,TRUE,4891.167,-29.571704864502,29.7125189878503,NA
"39",0,39,4,6,2,2,0.400113195296144,0.342860374008305,0.0775776216690429,NA,FALSE,TRUE,4813.758,-6.61737060546875,6.75425866185402,NA
"40",0,40,5,7,2,2,0.01796238950931,0.18109518161742,0.391503517245874,NA,FALSE,TRUE,5997.104,-6.86741895675659,6.99736439646507,NA
"41",0,41,5,6,1,1,0.21680881606075,0.470845729566645,0.0868264283123426,NA,FALSE,TRUE,8313.22,-6.82881278991699,6.98408806469976,NA
"42",0,42,8,6,1,1,0.307819750721054,0.234168734815903,0.19893552303547,NA,FALSE,TRUE,5295.478,-9.58156242370606,9.75776039045684,NA
