"","Epoch","Iteration","eta","max_depth","min_child_weight","subsample","lambda","alpha","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,0.0132211384479888,1,19.542346977687,0.144726722259657,32.5554019931587,24.2325336192152,NA,FALSE,TRUE,15.063,7.33169878176166,8.71723698310563,NA
"2",0,2,0.241058169369353,4,49.6234814738273,0.77549310841132,46.7928779835347,2.41732018475886,NA,FALSE,TRUE,17.647,7.28069377061425,8.66536300084227,NA
"3",0,3,0.34408869521576,8,38.3994418632938,0.985122316618799,2.42555981094483,44.9371202732436,NA,FALSE,TRUE,19.158,7.24903554078155,8.63241165380742,NA
"4",0,4,0.417942154366756,7,11.4395498545491,0.491820658295183,40.81988883554,41.7709990259027,NA,FALSE,TRUE,17.771,7.2654678020958,8.64998886013596,NA
"5",0,5,0.768048893252853,5,28.5906014498323,0.216511440949398,7.6201857678825,33.3066435618093,NA,FALSE,TRUE,16.587,7.24830757695428,8.63229483521776,NA
"6",0,6,0.997276438050903,13,35.9144786663819,0.568413771540509,13.8164903983125,14.6451270687976,NA,FALSE,TRUE,19.268,7.24486668147929,8.62760234345644,NA
"7",0,7,0.500257087260252,10,5.29761820944259,0.676844786782749,23.3239583307295,30.2780364450882,NA,FALSE,TRUE,18.648,7.24832410968735,8.63176848067255,NA
"8",0,8,0.718139491451439,14,17.135615949519,0.380204034718918,28.2479440807947,6.85002245445503,NA,FALSE,TRUE,18.425,7.24841858285453,8.63250538529196,NA
"9",1,9,0,15,0,0.1,50,0,0.394705847206367,TRUE,TRUE,19.507,7.3363235462862,8.72201853346071,NA
"10",1,10,0.0859383225784598,15,0,0.194025855228196,47.953736628705,0,0.300418346855618,FALSE,TRUE,19.121,7.31312359809883,8.69860499379683,NA
"11",1,11,0,15,0,0.154305449511128,50,1.10961148220739,0.382569119464997,FALSE,TRUE,19.636,7.33645544570907,8.72202698548367,NA
"12",1,12,0,15,4.72312538364595,0.1,49.9295733926775,1.6779858355667,0.388764588974208,FALSE,TRUE,18.4,7.3363235462862,8.72201853346071,NA
"13",1,13,0,15,2.42184613905079,0.130144209760998,50,1.3071064398389,0.385055804009933,FALSE,TRUE,18.771,7.3363235462862,8.72201853346071,NA
"14",1,14,0.0821709128969114,15,0,0.1,50,0,0.333188099439766,FALSE,TRUE,17.395,7.31519835095786,8.70087095958112,NA
"15",1,15,0.0123039083309165,15,3.88613320430112,0.1,50,1.94272513726686,0.381076163988155,FALSE,TRUE,19.364,7.33250161728505,8.71806537668374,NA
"16",1,16,0,15,0.73513145569367,0.164304957934264,50,0,0.380896411074707,FALSE,TRUE,21.053,7.3363235462862,8.72201853346071,NA
"17",1,17,0.0127888756238639,15,0,0.123000561635693,50,0.436657691874469,0.381143285620598,FALSE,TRUE,20.381,7.33181811106603,8.71751671471633,NA
"18",1,18,0,15,0,0.100071070779963,46.3822366363725,4.2240196401677,0.385712712423923,FALSE,TRUE,18.841,7.3363235462862,8.72201853346071,NA
"19",1,19,0.00123024668303269,15,3.34514606186203,0.111044013287493,45.9463107585979,0.260366484411146,0.383468410679655,FALSE,TRUE,20.173,7.33603404806932,8.72159162321597,NA
"20",1,20,0,15,0,0.1,48.0186111137267,2.64726510757171,0.389552604626077,FALSE,TRUE,18.706,7.33651943386844,8.72203105712215,NA
"21",1,21,0,15,0,0.1,47.8151600619675,2.62157399226949,0.389326753589592,FALSE,TRUE,18.6,7.33656002281795,8.7220335738392,NA
"22",1,22,0.0240751292881077,15,2.49210495302419,0.153781293499414,49.648840451487,3.16852235821845,0.359905131841729,FALSE,TRUE,19.707,7.32832425751425,8.71374129447646,NA
"23",1,23,0,15,2.10570717173507,0.118938961009432,50,0.396785211770845,0.388617661160893,FALSE,TRUE,19.89,7.33656002281795,8.7220335738392,NA
"24",1,24,0.0847377924186075,15,1.7062548327583,0.121257845654066,50,0.50847609688414,0.322299784688344,FALSE,TRUE,18.692,7.31443240548539,8.69974193037984,NA
"25",1,25,0,15,0.0551880137655244,0.135441222339713,47.3565096274353,0,0.384354000648839,FALSE,TRUE,18.4,7.33656002281795,8.7220335738392,NA
"26",1,26,0.0177438509683182,15,0,0.164102337188559,50,3.85584390396914,0.364762548058299,FALSE,TRUE,19.258,7.33006706690805,8.71563932089185,NA
"27",1,27,0,15,3.91843085990214,0.151368956791276,47.4520246315986,1.81092344685343,0.375231645821867,FALSE,TRUE,19.985,7.33643477346953,8.72202578529751,NA
"28",1,28,0.00022050250175343,15,0,0.188635882147953,50,0,0.376320801007215,FALSE,TRUE,17.165,7.3363851666276,8.72194161573515,NA
"29",1,29,0.0869318603661364,15,0,0.1,50,0,0.328966532844897,FALSE,TRUE,20.042,7.31518976658749,8.7006336990934,NA
"30",1,30,0.00620558363956906,15,0,0.1,50,0,0.390746827351241,FALSE,TRUE,19.124,7.33439028555427,8.71993103607126,NA
"31",1,31,0,15,0.0997338231151356,0.1,48.8994750191589,0.0820694045911486,0.39323751569648,FALSE,TRUE,19.217,7.336483152276,8.72202874800008,NA
"32",1,32,0,15,1.02641777605734,0.108232386910812,50,1.53131188493019,0.390605360421694,FALSE,TRUE,19.036,7.336483152276,8.72202874800008,NA
"33",1,33,0,15,0.652260906793722,0.1,50,4.32764069339791,0.389683878974283,FALSE,TRUE,18.314,7.336483152276,8.72202874800008,NA
"34",1,34,0,15,3.2915273418964,0.1,47.9954784272764,0,0.389406231106539,FALSE,TRUE,20.496,7.33651470015913,8.72203063304383,NA
