"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"21",1,1e-16,3,0.000265494920927286,32,0.803408418473125,0.811157551643296,0.00777533893541484,9.40214758832474,43.8953287601471
"211",20,1e-16,3,0.000265494920927286,32,0.803408418473125,0.810594112224124,0.00777566872222363,9.40214758832474,43.8953287601471
"212",50,1e-16,3,0.000265494920927286,32,0.803408418473125,0.810590890393051,0.0078186382570938,9.40214758832474,43.8953287601471
"213",100,1e-16,3,0.000265494920927286,32,0.803408418473125,0.812864762129879,0.00782278019006202,9.40214758832474,43.8953287601471
"214",1,1e-10,3,0.000265494920927286,32,0.803408418473125,0.811284031190358,0.00779782595685491,9.40214758832474,43.8953287601471
"215",20,1e-10,3,0.000265494920927286,32,0.803408418473125,0.808554094710194,0.00775438790129732,9.40214758832474,43.8953287601471
"20",50,1e-10,3,0.000957921630008525,31,0.804366340103133,0.812590618240939,0.00781567631994117,9.40308024020647,43.8953287601471
"216",100,1e-10,3,0.000265494920927286,32,0.803408418473125,0.810342363155372,0.00778386326812661,9.40214758832474,43.8953287601471
"217",1,1e-05,3,0.000265494920927286,32,0.803408418473125,0.811289663253573,0.00779702298398586,9.40214758832474,43.8953287601471
"218",20,1e-05,3,0.000265494920927286,32,0.803408418473125,0.812572066427589,0.00782664171199158,9.40214758832474,43.8953287601471
"219",50,1e-05,3,0.000265494920927286,32,0.803408418473125,0.811385822359901,0.00778742926580345,9.40214758832474,43.8953287601471
"2110",100,1e-05,3,0.000265494920927286,32,0.803408418473125,0.812384389263723,0.0078185202792205,9.40214758832474,43.8953287601471
"2",1,0.01,3,0.01,1,0.904204609369667,0.904350404813348,0.00845002726340644,9.21060796727119,43.8953287601471
"22",20,0.01,3,0.01,1,0.904204609369667,0.904532058082847,0.00845331584903619,9.21060796727119,43.8953287601471
"23",50,0.01,3,0.01,1,0.904204609369667,0.904374397197136,0.0084509547107497,9.21060796727119,43.8953287601471
"24",100,0.01,3,0.01,1,0.904204609369667,0.904274446906163,0.00844927640218953,9.21060796727119,43.8953287601471
