"","Epoch","Iteration","cp","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"1",0,1,2.22613067266196e-06,NA,FALSE,TRUE,4.726,-0.981312253790901,0.979251882244375,NA
"2",0,2,1.05026299025469e-06,NA,FALSE,TRUE,3.89,-0.981312253790901,0.979251882244375,NA
"3",0,3,5.0050088536467e-06,NA,FALSE,TRUE,3.358,-0.981312253790901,0.979251882244375,NA
"4",0,4,6.82153975367889e-06,NA,FALSE,TRUE,3.32599999999999,-0.981312253790901,0.979251882244375,NA
"5",0,5,9.49668186129702e-06,NA,FALSE,TRUE,3.354,-0.981312253790901,0.979251882244375,NA
"6",0,6,1.11279181137269e-05,NA,FALSE,TRUE,3.11,-0.981312253790901,0.979251882244375,NA
"7",0,7,1.2542932800948e-05,NA,FALSE,TRUE,2.966,-0.981312253790901,0.979251882244375,NA
"8",0,8,1.59167385279889e-05,NA,FALSE,TRUE,3.117,-0.981312253790901,0.979251882244375,NA
"9",0,9,1.79534236632428e-05,NA,FALSE,TRUE,2.913,-0.981312253790901,0.979251882244375,NA
"10",0,10,1.80947066053616e-05,NA,FALSE,TRUE,3.048,-0.981312253790901,0.979251882244375,NA
"11",0,11,2.03230711292147e-05,NA,FALSE,TRUE,2.897,-0.981312253790901,0.979251882244375,NA
"12",0,12,2.30804990568307e-05,NA,FALSE,TRUE,2.555,-0.981312253790901,0.979251882244375,NA
"13",0,13,2.50849504398775e-05,NA,FALSE,TRUE,2.8,-0.981312253790901,0.979251882244375,NA
"14",0,14,2.71253113512286e-05,NA,FALSE,TRUE,3.687,-0.981312253790901,0.979251882244375,NA
"15",0,15,2.80715655064283e-05,NA,FALSE,TRUE,3.062,-0.981312253790901,0.979251882244375,NA
"16",0,16,3.04719272469749e-05,NA,FALSE,TRUE,2.996,-0.98133955741271,0.979377830059403,NA
"17",0,17,3.39891681149586e-05,NA,FALSE,TRUE,3.088,-0.981435814766652,0.97944325087814,NA
"18",0,18,3.53335843796788e-05,NA,FALSE,TRUE,2.501,-0.981537391038017,0.979477786152421,NA
"19",0,19,3.80543466187454e-05,NA,FALSE,TRUE,3.435,-0.981568011926332,0.980202770798691,NA
"20",0,20,3.60833695842478e-05,NA,FALSE,TRUE,4.59800000000001,-0.981537391038017,0.979477786152421,NA
"21",0,21,4.16349520699095e-05,NA,FALSE,TRUE,2.797,-0.981568011926332,0.980202770798691,NA
"22",0,22,4.20576450121784e-05,NA,FALSE,TRUE,2.802,-0.981568011926332,0.980202770798691,NA
"23",0,23,4.46098596789413e-05,NA,FALSE,TRUE,3.682,-0.981568011926332,0.980202770798691,NA
"24",0,24,4.79153178591362e-05,NA,FALSE,TRUE,3.6,-0.981568011926332,0.980202770798691,NA
"25",0,25,4.96859157283499e-05,NA,FALSE,TRUE,2.78400000000001,-0.981568011926332,0.980202770798691,NA
"26",0,26,5.06474706973392e-05,NA,FALSE,TRUE,2.403,-0.981579605529915,0.980202770798691,NA
"27",0,27,5.56738095535947e-05,NA,FALSE,TRUE,3.953,-0.981607293225633,0.980314414192588,NA
"28",0,28,5.26510623473962e-05,NA,FALSE,TRUE,2.72600000000001,-0.981607293225633,0.980314414192588,NA
"29",0,29,5.60620653347102e-05,NA,FALSE,TRUE,3.035,-0.981607293225633,0.980314414192588,NA
"30",0,30,5.93366711293676e-05,NA,FALSE,TRUE,2.814,-0.981798735171434,0.980595497545071,NA
"31",0,31,6.05635195818904e-05,NA,FALSE,TRUE,2.911,-0.981798735171434,0.980595497545071,NA
"32",0,32,6.37861967027565e-05,NA,FALSE,TRUE,4.375,-0.981912566024163,0.980595497545071,NA
"33",0,33,6.55430792715111e-05,NA,FALSE,TRUE,2.957,-0.981936123184563,0.980595497545071,NA
"34",0,34,6.62449744371247e-05,NA,FALSE,TRUE,3.208,-0.981936123184563,0.980595497545071,NA
"35",0,35,6.99379380854404e-05,NA,FALSE,TRUE,3.892,-0.981967335222091,0.981262675181595,NA
"36",0,36,7.16769888615772e-05,NA,FALSE,TRUE,3.096,-0.981967335222091,0.981262675181595,NA
"37",0,37,9.8821975781643e-05,NA,FALSE,TRUE,3.456,-0.983518740169378,0.981732915619303,NA
"38",0,38,7.3774607047279e-05,NA,FALSE,TRUE,3.592,-0.981967335222091,0.981262675181595,NA
"39",0,39,9.74312065699932e-05,NA,FALSE,TRUE,2.718,-0.982559386035372,0.981437373232825,NA
"40",0,40,7.58984157409317e-05,NA,FALSE,TRUE,2.675,-0.981945511276887,0.981102171402904,NA
"41",0,41,9.55882603564928e-05,NA,FALSE,TRUE,3.733,-0.982445864286377,0.981437373232825,NA
"42",0,42,9.29496687600504e-05,NA,FALSE,TRUE,2.865,-0.982443528644541,0.981437373232825,NA
"43",0,43,7.68116226934784e-05,NA,FALSE,TRUE,2.806,-0.981945511276887,0.981102171402904,NA
"44",0,44,9.07322267274865e-05,NA,FALSE,TRUE,2.895,-0.982339866678868,0.981345439851946,NA
"45",0,45,8.86463272151094e-05,NA,FALSE,TRUE,3.962,-0.982255733083663,0.981345439851946,NA
"46",0,46,7.83954412443592e-05,NA,FALSE,TRUE,2.806,-0.981964156136551,0.981102171402904,NA
"47",0,47,8.02220404221188e-05,NA,FALSE,TRUE,4.061,-0.983377193894786,0.981262675181595,NA
"48",0,48,8.36885468709709e-05,NA,FALSE,TRUE,3.435,-0.982255733083663,0.981345439851946,NA
"49",0,49,8.45085639196371e-05,NA,FALSE,TRUE,3.811,-0.982255733083663,0.981345439851946,NA
